topic,text,n_words
Зачем людям нужна вера в успех,"Автор взволнованно рассказывает нам о том, что каждому человеку нужна вера в хорошее. Публицист говорит: «Привяжите руку к туловищу – она отсохнет. Лишите человека возможности…верить – высохнет его душа», так как без веры человек, не верящий ни во что, становится «бревно бревном». Любое дело его не будет приносить результатов, работа станет малоэффективной. 
Позицию С. Соловейчика определить довольно просто:  вера помогает человеку развиваться, заставляет его двигаться дальше к намеченной цели.
Я полностью согласен с мнением автора. Каждый из нас стремится изменить свою жизнь к лучшему, добиваться успеха в какой-либо деятельности, а чтобы наши мечты стали реальностью, нужно верить в то, что ты делаешь и что все твои старания не будут напрасны. Об этом  не раз говорили писатели и публицисты.
Ярким примером необходимости истинной  веры может послужить стойкость жителей блокадного Ленинграда. А.Чаковский, автор романа ""Блокада"", пишет, что в те тяжелые дни, когда не хватало еды,  когда смерть поджидала на каждом шагу, когда враг грозил захватить город и полностью разрушить его, вера в то, что наши войска прорвут блокадное кольцо и все будут спасены, помогала людям выжить, работать и защищаться в таких тяжелейших условиях!
Вспомним наших спортсменов - паралимпийцев. Каких успехов они достигли на минувших играх! И все это благодаря  непреодолимой воле к победе и вере в собственный успех. На них надеялась вся страна, и они не подвели нас!
Таким образом, могу сделать вывод, что вера в успех собственного дела придает нам силы и помогает добиваться намеченных целей.",231
Почему мы легкомысленно относимся к собственной жизни,"В данном тексте автор рассуждает о том, что некоторые из нас «бездарно и бездумно» относятся «к этому прекрасному чуду» под названием жизнь. Легкомысленным лихачам, не дорожащим каждым прожитым днем, Н.Михайлов противопоставляет жизнь калеки от рождения Григория Журавлёва, который, не имея ни рук, ни ног, смог все же найти свое место в обществе. Он рисовал иконы, затем расписывал церковь. Это доставляло порой физические страдания, но Григорий Журавлёв не сдавался и добивался поставленной цели, выполняя «свое предназначение» на земле.
 Позицию публициста определить не сложно: многие из нас не понимают огромной ценности жизни. Вот почему так легко растрачивают ее по пустякам.
 Я полностью разделяю точку зрения автора. Действительно, люди часто разменивают жизнь на пустые дела, легкомысленные и опасные затеи, не осознают огромную ценность  дарованного им чуда. Но есть абсолютно удивительные личности, которые не хотят прожить жизнь напрасно. Об этом много говорят в прессе, пишут в Интернете.
Знает, что такое жизнь и как она дорога, безногий паралимпиец, Алексей Чувашов. Оценивая жизнь как борьбу, этот несломленный человек, боролся с первых минут после страшной операции по ампутации ног и добился своего, он не только участвовал в паралимпийских играх, но и на церемонии закрытия паралимпиады поднялся по канату на глазах у многотысячной публики. Вот момент, доказавший, что если человек хочет жить полноценно, то для него «невозможное – возможно».
В Интернете, на сайте «Петербургский дневник», прочитал статью о Юлии Самойловой, которая, несмотря на тяжелый недуг ( в детстве ей неудачно сделали прививку от полиомиелита, и она осталась инвалидом), поет с детства, не теряет оптимизма и даже создала  в родном городе собственную группу. Юлия решила попробовать свои силы в телевизионном проекте «Фактор А» и заняла там второе место, после чего начала активно гастролировать по стране с концертами. На закрытии паралимпиады девушка исполнила для зрителей прекрасную песню.
 Делая вывод, хочу сказать, что легкомысленно относится к собственной жизни те, кто не познали горя и страданий.",302
Взаимоотношения личности и коллектива,"В предложенном для анализа фрагменте автор приводит яркий пример того, как ученик ""не побоялся пойти против мнения всего класса"", противопоставил свою точку зрения коллективной и убедил ""в собственной правоте всех одноклассников"".
Н.Татаринцев считает, что каждый человек может не согласиться с мнением коллектива. И это его право! Члены социума обязаны  уважать точку зрения одного из своих товарищей.
Я полностью согласна с мнением автора. Ведь любой из нас должен быть сформировавшейся индивидуальностью, иметь свои взгляды, вкусы, предпочтения. Иначе человека, как личности, просто не будет существовать в коллективе.
Вспомним одного из основоположников научной социологии М. Вебера и его труд «Понимающая социология». В нем автор, размышляя над проблемами социального поведения и социализации личности, говорит о том, что каждый индивидуум обязан реализовывать свой потенциал, порою, не реагируя на общественное мнение.
Мне часто приходится отстаивать собственную точку зрения среди одноклассников, что не раз сопровождалось развитием конфликтной ситуации. Однако способность аргументировать своё мнение и доказывать собственную правоту помогают урегулировать отношения в коллективе.
Таким образом, взаимоотношения человека и общества должны складываться на принципах взаимоуважения",161
За жизнь необходимо бороться,"Автор описывает случай из жизни, когда он, походив по лесу, увидел необычный пень, на котором «ютились хиленькие всходы елочек», явно обреченные на смерть. С удивлением писатель подмечает, что среди них была маленькая елочка, очень отличавшаяся от собратьев своим бодрым и даже вызывающим видом. Она явно не собиралась засыхать! Елочка боролась за жизнь! В.П.Астафьев говорит, что когда ему «становится больно от воспоминаний о тех, кто прошел войну», то он просто думает об этой маленькой елочке, и ему становится гораздо легче.
   Автор считает, что тот, кто не борется за жизнь, не приспосабливается к условиям среды, тот умирает.
   Я разделяю позицию В. П. Астафьева и считаю, что за свою жизнь всегда нужно бороться, не отступать перед врагами, трудностями, болезнями.
   Вспомним сказку-быль А. Платонова «Неизвестный цветок». Это произведение о цветке, который вырос среди камней и глины. Он много трудился, преодолел массу препятствий, чтобы засветиться живым огоньком. И все потому, что цветок очень хотел жить! В своей сказке Андрей Платонов утверждает, что надо много трудиться, чтобы жить и не умереть, чтобы светить ярким огнем и звать к себе других безмолвным голосом радости жизни.
   Но если цветы, растения так борются за жизнь, то люди просто обязаны быть примером в сражении за каждую прожитую минуту. Вспомним героя рассказа Д. Лондона «Любовь к жизни», странствующего по Аляске в поисках золота. Парень вывихнул ногу, и напарник Билл бросает его: ведь слабому не выстоять в битве за жизнь. Но персонаж Д.Лондона все же выжил! Вначале он верил, что Билл ждет его у тайника с золотом. И эта надежда помогала ему идти, побеждая страшную боль в ноге, голод, холод и страх одиночества.Но каково же было разочарование героя, когда он увидел, что тайник пуст! Билл предал его вторично, забрав все припасы и обрекая его на верную смерть. И тогда человек решил, что дойдет любой ценой, что выживет, несмотря на измену Билла. Герой собирает в кулак всю волю и мужество и борется за свою жизнь. Он голыми руками ловит куропаток, ест корни растений, защищается от голодных волков и ползет, ползет, ползет…И он спасется! Он победит!
   Делая вывод, хотелось бы отметить, что борьба за жизнь – это важная ступень в развитии каждого человека. Не случайно А. Франс сказал: «Жить – значит действовать!»",358
Как важно человеку найти свое призвание,"Нравственный вопрос, рассматриваемый автором, относится к категории вечных. Сколько существует человечество, столько и спорят люди по проблеме выбора дела своей жизни. В. Шахиджанян, рассуждая над этой актуальной проблемой, говорит о ее большом социальном значении: чем больше людей найдут свое призвание, тем больше из них познают счастье в труде.
Автор считает, что главное – найти свое призвание. Сделает это человек – и работа станет ему в радость. Любить свое дело, знать и с увлечением относиться к нему – это и есть призвание, после которого приходит к мастеру Признание.
Я разделяю позицию В. Шахиджаняна: работа в радость - большое счастье для человека, его семьи, да и польза обществу.
Есть у Марка Твена интересный рассказ. В нем повествуется о жизни людей в раю. Оказывается, на «том» свете нет ни ангелов, ни святых, ни божественного ""ничегонеделания"", а живут люди такой же трудовой жизнью, как и на грешной земле. Отличается рай от земли только одним: там каждый занимается делом по своему призванию! Человек, случайно ставший педагогом, в раю становится отличным бухгалтером. Плохой писатель находит вдохновение в профессии токаря.
Великий советский педагог В.А. Сухомлинский в книге «Письма к сыну» описывал своего знакомого Ефима Филипповича. Тот был садоводом от Бога. Ефим Филиппович творил удивительной красоты крону дерева. Деревья, выращенные его руками, легко можно было отличить от тысяч других: все они были устремлены к солнцу! Вот он, человек, нашедший себе дело по душе!",221
Как противостоять низости и подлости,"Низость и подлость – слова синонимы, обозначающие низкие в нравственном отношении, бесчестные поступки человека. Сколько существует человечество, столько, к сожалению, и властвуют они над людьми. Над этой морально-нравственной проблемой размышляли и размышляют философы, писатели, поэты.
Как противостоять низости и подлости – вот вопрос, над которым рассуждает автор текста.
Ю. Бондарев в рассказе «Красавица» изображает самоуверенного, себялюбивого парня.Именно оно, себялюбие, заставило героя так подло и низко вести себя на дискотеке по отношению к некрасивой, растерянной девушке. Но не подлость красавца привлекла внимание писателя, а поведение девушки, которая смогла противостоять низости и подлости парня и поставить его на место.
Позицию автора определить просто: низость и подлость будут процветать до тех пор, пока не найдутся люди, которые дадут им отпор.
Я разделяю точку зрения автора: противостоять низости и подлости необходимо всегда.
К сожалению, бывая на дискотеках, не раз видя подобные картины, не встречалась еще с такой же смелой девчонкой. Большинство моих сверстниц, попав в подобную ситуацию, теряются, пасуют и чаще всего со слезами убегают из зала…
Героиня рассказа В. Г. Астафьева «Людочка» поступила еще хуже. Не имея нравственных сил противостоять низости и подлости Стрекоча, сломавшего ей жизнь, она повесилась…
Думаю, слезы, крики, ругань, самоубийство не решат проблему борьбы с низостью и подлостью. Выход один. Если у девчонки, которую унизили так же, как героиню Бондарева, нет сил дать отпор наглецу, то мы, ее подруги, сверстницы, должны помочь ей в этом!",219
Какие поступки мы считаем героическими,"Волкогонов Д. А., размышляя над проблемой, рассказывает нам о поступке молодых парашютистов-американцев, которые выпрыгивали из самолета друг за другом, причем первый прыгал без парашюта, а второй выпрыгивал с двумя и, догнав своего напарника, передавал ему парашют. Автор, считая этот поступок парней безрассудно смелым, к героям тех ребят не причисляет.
По мнению Волкогонова Д.А., герой – это не сверхъестественный феномен, а обыкновенная личность, которая исключительна лишь в одном: она способна к совершению в нужный момент такого поступка, который жизненно необходим людям. Поступок парней-американцев к таким не относится.
Я разделяю точку зрения автора. Часто в своей жизни вижу, как ребята ради бахвальства рискованно гоняют на мотоциклах или демонстрируют свое мастерство на перекладине, рискуя сломать шею.
Л.Н. Толстой, изображая в своем романе «Война и мир» таких героев, как Б. Друбецкой, А. Берг, относит их, участников сражения, к лжегероям. Адольф Берг во время боя никого не убил, не повел за собой со знаменем в руках солдат в наступление. Но он был ранен, и на другой день всем демонстрировал свою перевязанную руку. Вот вам и весь «героизм»…
Недавно в газете «Аргументы и факты» прочитал статью о героическом поступке комбата, майора Сергея Солнечникова. Во время учений на полигоне в окоп, где находился Сергей со своими солдатами, упала боевая граната без чеки. Недолго думая, комбат накрыл её своим телом, тем самым ценой собственной жизни спас жизни десяти рядовым. Вот это, на мой взгляд, настоящий герой!",224
Какого человека мы можем назвать ограниченным,"Автор, рассуждая о том, кто из нас ограничен в своих знаниях или в своем представлении о мире, проводит интересную параллель. Он считает, что в наши дни найти мудреца, который знал бы все, как это было во времена Аристотеля, Архимеда, Леонардо да Винчи, невозможно, потому что неизмеримо вырос объем человеческих знаний. Значит, каждого в наши дни можно назвать «ограниченным» человеком? Да.Но один, по мнению В.Солоухина, ограничен знаниями темы, интересующей только его, зато другой, «не вооруженный целым арсеналом точных знаний», будет иметь широкое и ясное представление о внешнем мире.
В. Солоухин считает, что «ограниченный человек» - это тот, который замкнулся в изучении лишь одной какой-то науки, не замечая ничего, кроме нее.
Я согласна с мнением автора. Действительно, игнорируя все, кроме интересующей тебя темы, человек во многом себя ограничивает.
Возьмем для примера известных всем литературных героев 19-го века, персонажей романов И.А.Гончарова и И.С.Тургенева. Кого из них можно было бы назвать ограниченным человеком: Илью Обломова или Евгения Базарова? Конечно, большинство назовет Обломова. Но я считаю, что по-настоящему «ограниченным» являлся Базаров. Он интересовался только своей наукой, медициной, да проповедовал нигилизм. Ни живопись, ни поэзия не интересовали тургеневского героя! Зато Илья Ильич Обломов, известный всем ленивец, на самом деле знал очень много и мог поддержать любую тему в разговоре. Вот и судите теперь, кто из них более ограничен!
Таким образом, могу сделать вывод, что каждый человек, глубоко изучая выбранную им в жизни тему, не должен замыкаться только на ней, а интересоваться и другими вопросами внешнего мира.",236
Может ли человек принести себя в жертву ради другого человека,"Данную проблему рассказчик раскрывает на примере конкретного случая из жизни. Истории этой уже более пяти веков! А она продолжает волновать людей, потому что рассказывает о бескорыстии и жертвенности. Один из талантливых братьев Дюрер из поселка близ Нюрнберга пожертвовал собой ради того, чтобы его брат Альбрехт выучился и стал знаменитым художником. Каждое слово рассказчика пронизано чувством восхищения и уважения к простому горняку, принесшему в жертву свой талант ради другого.
Авторская позиция выражена очень ясно: человек может принести в жертву свой талант и здоровье ради успеха и счастья близкого человека.
Я полностью разделяю точку зрения рассказчика. Люди, особенно родные, должны жертвовать ради друг друга.
Вспомним роман Ф.М.Достоевского «Преступление и наказание» и его героиню, великую жертвенницу Соню Мармеладову. Сколько вытерпела молодая женщина, сколько бессонных ночей провела в слезах ради того, чтобы любимый ее, Родион Раскольников, раскаялся, встал на путь нравственного очищения.
А разве не является жертвенным поступок Дена, героя рассказа Ирины Курамшиной ""Сыновний долг""? Юноша, ради спасения, излечения от рака матери, отдает свою почку…С каким оптимизмом кричит Ден матери, потрясенной его поступком, что хочет, чтобы она еще его детей понянчила…
Таким образом, мы можем сделать вывод, что человек способен принести в жертву свой талант и здоровье ради счастья другого человека…",192
"Проблема роскоши, разъедающей душу человека","Нравственный вопрос, поставленный в тексте, является одним из вечных в литературе. Еще в Библии говорилось, что «корень всех зол есть сребролюбие», позволяющее жить в роскоши. Особенно злободневной эта проблема стала в наши дни, когда сотни людей, живущих в роскоши, противостоят тысячам, прозябающим в нищете.
Автор текста, уделяя много внимания рассуждению о том, как бедные завидуют жизни богатых, всего несколько строк отводит на рассказ о жизни последних. Они, на его взгляд, несчастливы: роскошь не помогла им ни в выборе любимого (а чаще помешала), ни в поиске дела всей жизни, не дала простого человеческого покоя. Богатство, считает автор, «убивает душу».
Я разделяю точку зрения С. Соловейчика: богатые люди очень редко бывают счастливыми.
Вспоминаю слова Августина Блаженного, христианского писателя, философа, богослова, одного из отцов церкви: «Вы ослеплены золотом, сверкающим в доме богатых; вы, конечно, видите, что они имеют, но вы не видите, чего им недостает».
В качестве другого примера хочу привести рассказ А. П. Чехова «Анна на шее», показывающий, как добрая, очаровательная девушка, выйдя замуж за старика и окунувшись в роскошь, изменилась, стала черствой, сухой, забыла о некогда любимых братьях и отце.
Таким образом, могу сделать вывод, что жажда золота иссушает сердца, они замыкаются для сострадания, не внемлют голосу дружбы, разрывают даже кровные узы.",196
